job,专业,性格,软件技能,工作内容,品质
电商运营 (家纺类目/需兼部分社媒推广),"电商运营 (家纺类目/需兼部分社媒推广)
[无",积极乐观，易沟通,无,天猫店铺的日常维护、监控分析竞品店铺情况、客户运维、制定运营计划、兼小红书达人推广等,至少有一年电商运营经验，本科及以上学历，海外学习和工作背景优先]
1688电商运营,"1688电商运营
[无",细心、有耐心、善于沟通,熟练掌握1688店铺操作、熟悉数据分析软件,店铺优化、顾客需求分析、营销策略制定、广告投放策略制定、运营数据监控及分析,逻辑思维、数据分析能力、沟通协调能力]
电商运营实习生,"电商运营实习生
[机械/测控等仪器仪表相关专业",有责任心，做事靠谱，积极主动,无,日常维护、MRO平台商品发布、内部对接仓库销售、完成平台订单要求的签单返回,全职实习者优先]
电商运营（京东/天猫/淘宝/拼多多）,"电商运营（京东/天猫/淘宝/拼多多）
[无",细心耐心、认真负责、沟通能力、逻辑分析能力、组织协调能力,无,负责平台店铺的日常维护、增强店铺吸引力、提高店铺流量、促进产品销量、制定店铺整体运营策略、形成店铺年度销售及活动计划并负责实施、对推广效果进行评估、负责店铺各项活动或品牌的宣传推广方案的设计、讨论和实施、负责店铺的产品分析、产品促销（策划活动方案、执行促销活动、协助促销宣传）,人品端正、团队合作、责任感强]
电商运营岗,"电商运营岗
[无",敢做责任心极强,天猫、淘宝店全部运营流程,负责产品规划、店铺产品活动策划、整体运营、活动跟进、制定店铺整体运营规划、收集及分析店铺及行业竞争对手数据、总结店铺沉淀人群、日常管理及维护,数据分析能力、创业想法]
电商运营助理实习生,"电商运营助理实习生
[无",外向、灵活,办公软件、ERP,店铺运营、订单管理、客服值班、直播配合,学习心态、普通话标准、打字速度]
电商运营,"电商运营
[电商专业",细心、有耐心,熟练电脑基本操作,店铺维护、产品更新、陈列、活动策划、信息收集,学习能力强、自愿加班]
电商运营经理,"电商运营经理
[无",善于活动策划及打造爆款,熟练应用直播各种营销工具及推广方式,全权负责公司天猫店铺、抖音直播及唯品会的整体营运与规划并根据平台的变化与公司的实际情况及时做调整；推进目标管理；数据分析与挖掘；分析店铺会员的数据，并跟进执行情况与结果；部门间的协作；负责店铺人员的日常管理工作,具有较强的运营团队管理能力及善于活动策划及打造爆款的品质]
电商运营实习生,"电商运营实习生
[无",勤奋、适应力强、有团队精神,Excel、vlookup函数,学习电商运营知识、协助主管完成平台运营、收集市场和行业信息、产品分析、跟进上线商品及活动资料、配合店长活动实时调整,吃苦耐劳、对电商行业感兴趣]
电商运营/实习生助理,"电商运营/实习生助理
[电商专业",有趣、网感好,无,协助平台运营工作，整理汇总数据，执行活动，处理订单，关注行业动态，沟通协调部门，数据采集分析,适应快节奏工作，抗压能力好]
"电商运营专员
[无",有责任心、善于交流、有较强的自驱力和抗压性,直通车引力魔方推广工具、数据分析能力,负责零食电商店铺的运营、推广和日常管理、店铺活动策划和报名、结合销售、退款等情况给出补货建议,了解平台营销规则、协调团队成员协作,有3年以上零食类目运营经验优先、对数据敏感、了解平台营销规则、协调团队成员协作、有责任心、善于团队协作、有较强的自驱力和抗压性]
电商运营专家,"女装
[无",沟通协调能力,电商运营模式,制定目标和执行计划、管理团队、协同上级完成编制和团队发展等,团队管理能力、沟通协调能力、业务销售能力]
电商运营助理/专员,"电商运营助理/专员
无",无,无,店铺管理、推广引流与数据分析、竞品分析、产品理解与分析、优化图文视觉、跨部门沟通,无
电商运营专员,"电商运营专员
无",爱学习，能吃苦，勤奋，执行力强,抖音账号运营管理,执行力强,无
电商运营管培生,"电子商务、新媒体、广告、市场营销
求真务实，具备良好的沟通能力，团队协作精神
无
直播项目的整体策划及落地、策划抖音平台的内容电商直播活动和促销方案、与主播团队配合，增强直播互动性，提升整体转化
具备优秀的学习能力，积极上进的良好品格",无,无,无,无
电商运营助理（接受实习生）,"电商运营助理（接受实习生）
[无",积极主动、有责任感,淘宝后台操作、直通车操作,宝贝上下架、竞品数据收集、活动报名、标题优化、维护产品差评、协助店长工作,良好的学习能力、执行能力与沟通能力]
电商运营,"电商运营
【无",踏实、皮实、能够及时沟通、积极主动沟通,Excel、Word、PPT,助处理基础商家BD工作、参与平台大促营销活动及协助进行营销活动管理和项目跟进、其他工作日常的运营辅助、适应双休日可能会有钉群消息答疑回复,理解沟通及执行能力第一】
电商运营专员,"电商运营专员
[无",热爱电商工作、实干、独立思考、团队意识和责任感,熟悉拼多多平台的运营规则及玩法、数据分析,日常店铺运营和维护、销售转化率提升、数据分析、月度营销计划制定,热爱电商工作、实干、团队意识和责任感、对数据敏感、执行力强]
电商运营,"社交平台(J11656)
[无",外向、沟通能力强,无,平台运营、拆解销售计划、制定营销方案、跟平台对接、关注竞品动向,抗压能力、营销策划能力、经营思维、数据分析能力]
电商运营,"电商运营
[无",责任感、学习能力强、自我驱动,无,负责日常的直营商品运营工作、分析店铺数据、协助处理用户咨询和售后问题、协助市场负责人进行部分横向工作的推进,无]
电商运营专员（天猫/抖音/家电）,"电商运营专员（天猫/抖音/家电）
[无",逻辑思维能力强,熟练操作天猫推广工具,负责店铺基础运营工作，数据统计工作，分析销售数据，制定推广预算，把控运营风险,沟通能力强]
电商运营,"电商运营
[无",逻辑思维、沟通能力、主动性,阿里巴巴国际站操作,操作阿里巴巴国际站，定期诊断店铺并给出优化建议，统筹店铺数据和制定下一阶段计划，与客户线上线下沟通,数据敏感度、沟通能力、主动性、工作经验]
电商运营总监,"电商运营总监
无",无,无,五年以上电商运营经验，扎实淘系（天猫）运营能力，有第六、第七层级店铺运营经验；对于淘系流量运营，特别直通车爆款推广精通，对全网流量运营有较强认知和运营能力；对于女装货品有较强认知度，了解视觉营销；执行力强，肯吃苦，重细节，能带领团队,无
电商运营助理,"电商运营助理
[无",善于学习,无,负责天猫/淘宝平台店铺的日常后台运营，如宝贝上下架，宝贝更新和订单操作等；负责店铺各类促销活动以及平台官方各类活动的协助策划、提报和实施，追踪活动结果，并对其进行评估；参与制定店铺的推广方案；负责店铺数据汇总和统计，分析店铺运营数据，并制作总结报告；完成上级交代的其他事宜,热爱电子商务、善于学习、积极上进]
电商运营合伙人,"电商运营合伙人
[无",适应性强、数据敏感、团队领导力,兴趣电商运营规则和逻辑、数据分析、电商罗盘、直播罗盘,制定和实施公司线上运营的总体战略和年度经营计划、负责公司各平台店铺账号的整体运营、带领团队、品牌推广、销售,能实时根据平台规则变化调整应对形式、有操盘过知名宠物品牌的经验、5 年以上品牌运营部门主要负责人任职经历]
电商运营,"电商运营
[电商专业",细心、有耐心,熟练电脑操作,店铺维护、产品更新、活动策划、信息收集,学习能力强、自愿加班]
"电商运营总监
[无",沟通能力强、数据分析能力强、目标导向,Office软件、电商系统,产品上架、推广计划制定、数据分析、营销策略制定、资源协调,丰富的运营经验、熟悉电商运营模式、市场推广技巧,目标导向、沟通能力强]
电商运营店长,"天猫/拼多多/京东
[无",团队管理能力,天猫推广规则,经营管理、数据监控、活动策划、团队管理,商业意识、数据敏感]
电商运营,"电商运营
[无",思路清晰、有敏锐的电商洞察力、具备较强的团队管理能力及沟通能力,无,对店铺进行整体运营、完成营销策略、产品规划、流量引入等运营工作、熟悉活动规则、选择合适活动进行报名，并策划、跟进活动完成、能够对市场上和历史营销的各种数据进行分析、判断未来趋势、寻找合适的产品、改进调整自身运营方式、独立打造爆款,全日制本科及以上学历，3年以上电商平台运营经验]
电商运营专员,"电商运营专员
[电子商务.市场营销相关专业",熟悉网络,网销宝,负责店铺网络营销及推广的方案及预算制定，定期更新版面，推进店铺营销活动,熟悉阿里运营环境.阿里交易规则.阿里推广，懂得阿里各种活动的推广及要求]
电商运营助理（双休+五险一金+大厂+班车）,"电商运营助理（双休+五险一金+大厂+班车）
[无",认真、上进、稳定性好、具备互联网后台的操作能力,excel、PS,协助商家办理入驻及后台操作，合同录入及审批，商家入驻及退出问题答疑；协助进行建品工作，商品资料修改等，积极响应商家需求，解答疑惑；负责系统数据维护，不同业务部门之间的数据导入，基础报表的看板制作；协助平台运营完成好沟通对接工作，与集团内供给部门与需求部门对接，沟通解决方案；商家活动提报跟进等其他事物跟进，协同小二完成商家触达建联、能结合商家需要传递平台价值。,有数据处理能力，接受一定程度的加班，为人踏实，做事细心。]
电商运营专员（京东）,"电商运营专员（京东）
[无",积极主动、细心、有抗压能力,熟练使用Excel、Word等办公软件,协助完成销售目标、整理货品、制定促销计划、活动报名与跟进、活动策划与执行、数据分析,独立操盘经验、电商渠道经验、服饰行业经验、有明确的职业规划]
电商运营专员,"电商运营专员
[无",对数据敏感，逻辑性强，掌握基础的数据统计分析方法,天猫淘宝、拼多多店铺运营、页面规划、产品优化、补货跟进、客服工作,执行力，沟通能力，学习能力，自驱力],无
内衣电商运营总监,"内衣电商运营总监
[无",领导能力、执行力,天猫、京东、唯品、拼多多,负责公司内衣项目的整体自营工作，带领大的运营团队，服装销售额1亿以上,领导能力、执行力]
电商运营助理,"电商运营助理
[无",沟通能力,无,日常运营管理、支持业务目标、优化运营流程、完成任务,团队合作精神、高效率、适应能力]
电商运营总监,"电商运营总监
[电子商务、市场营销、商业管理或相关专业",逻辑思维、团队合作精神、有责任心、进取心,数据分析,制定电商平台整体营销计划、负责品牌运营规划的执行工作、承担电商平台运营任务、制定落实平台总体运营目标、关注电商平台的发展趋势及规则变化、负责产品电商渠道拓展及销售、策划推进公司电商运营战略、流程与计划、制定部门运营指标、年度发展计划、负责抖音、快手拼多多食品市场渠道的规划拓展、组织策划并审定市场活动的策略、推广方案、相关预算,团队领导能力、创新和执行能力、商务谈判能力]
电商运营专员（天猫/抖音/家电）,"电商运营专员（天猫/抖音/家电）
【无",逻辑思维能力强、良好的沟通能力,熟练操作天猫推广工具,店铺基础运营、数据统计与分析、制定推广预算、风险把控、协调工作对接,具有良好的数据分析能力、熟悉电商平台营销活动】
电商运营 (家纺类目/需兼部分社媒推广),"1. 专业：无
    2. 性格：积极乐观，易沟通
    3. 软件技能：无
    4. 工作内容：天猫店铺的日常维护，监控分析竞品店铺的产品上新情况、流量及转化数据等，客户运维，微淘粉丝和会员管理，基于AIPL模型的店铺规划和执行，在运营工作不饱和的情况下可兼职小红书达人推广、直播等工作。
    5. 品质：至少有一份全职工作时长超过1年，本科及以上学历，有海外学习和工作背景优先。",无,无,无,无
电商运营,"电商运营
[无",沟通能力、协作能力、责任心,Word、Excel,店铺营销推广、营运规划管理、活动策划执行、数据分析统计、推广计划制定,数据敏感、计划性、主动性]
电商运营助理（唯品）,"电商运营助理（唯品）
[无",细心、责任心强、沟通能力好,办公软件、数据分析软件,基础资料制作、产品上架、售后处理、评价维护、差异处理、活动报名、核对库存、消息跟踪,细心、责任心强、沟通能力好]
电商运营总监,"电商运营总监
[无",活跃健谈,平台运营规则、数据分析,制定运营计划和目标、团队管理、制定电商经营战略,创新力、自驱力、目标导向、责任心强]
电商运营总监,"电商运营总监
[无",具有大局观、团队领导能力、组织协调能力,淘宝天猫平台运营、营销策略制定、团队管理,内驱力、整合资源能力、团队管理能力],无
电商运营经理,"电商运营经理
[无",沟通能力、资源整合能力、团队管理能力,数据分析,制定店铺运营策略、活动规划和执行、团队管理,谈判能力、责任心强]
传统电商运营,"传统电商运营
[无",责任感，积极开放，团队领导能力,无,结果导向],无
电商运营助理,"电商运营助理
[无",性格开朗，积极乐观，善于沟通，工作效率高执行力强，逻辑思维能力强，具有较强的责任心和团队合作意识，做人做事踏实勤奋仔细认真、不抱怨,无,负责店铺产品进行不定期上下架工作；首页、产品页、活动二级页面等页面排版与优化；负责店铺详情页，宝贝标题以及图片的不定时更新，SEO优化；负责用户运营以及基础推广；负责活动报名，后台活动设置，积极参与平台的各种活动，提高店铺的销量；数据收集与分析，关注行业动态，竟品分析，总结；产品运营：价格、属性、链接、库存等检查工作，评价维护等；对接设计、客服、供应链等横向团队合作完成店铺相关事宜,热爱电商行业，大专及以上学历;熟练使用excel表格等办公工具;1年以上电商相关经验，学习能力强，工作态度认真]
电商运营专员,"电商运营专员
[无",抗压能力、积极主动、认真负责,熟悉各大主流电商平台和第三方渠道的实操和运作,学习能力、逻辑清晰、沟通协调能力佳],无
电商运营,"电商运营
【专业】无
【性格】目标导向、团队合作、执行力、抗压力强
【软件技能】相关付费推广、搜索优化、流量渠道拓展
【工作内容】淘宝店铺品类、爆款运营；竞品分析和应对；促销活动策划和执行；推广方案执行；对活动商品进行页面美化和卖点挖掘
【品质】学习能力、数据分析、问题解决、自我要求学习提升、注重团队协作",无,无,无,无
电商运营副总监,"电商运营副总监
[无",沟通能力强、逻辑清晰、执行力强,无,战略规划与落地、寻找销售增量、客户维护、客户赋能、组织建设,团队领导能力、市场洞察力、快速反应能力]
电商运营专员,"电商运营专员
无",沟通能力、自驱力、抗压力,商家运营、店铺运营、营销运营、产品运营、供应链运营,负责度假玩乐项目小程序运营、会员与私域运营、营销策划与执行、商品运营、流量运营,独立、沟通能力、项目管理能力、分享精神
电商运营主管,"电商运营主管
[无",无,无,负责公司天猫旗舰店运营工作、负责公司入驻的所有电商平台的整体运营规划、管理日常的运营工作、负责管理电商运营团队、分析电商平台的各项数据,无]
电商运营,"电商运营
[无",逻辑思维清晰、有想法、有创新力、务实、有责任心,淘宝、抖音、小红书、唯品会店铺等操作经验,负责淘宝、抖音、小红书各平台店铺品类爆款产品打造、维护，策划专题内容及活动，数据分析，商务拓展,学习能力强，对数据敏感，灵活的思路]
电商运营,"电子商务、市场营销、计算机
无
数据分析工具、营销推广手段
店铺日常运营、营销推广、数据分析、供应链管理、团队协作
学习能力、创新精神、沟通协调能力、团队合作精神",无,无,无,无
电商运营专员,"1. 专业：无
2. 性格：具有优秀的逻辑思维能力、沟通能力、抗压能力；具备抗压能力,活跃开朗
3. 软件技能：无
4. 工作内容：负责二类电商头条、腾讯等平台账户的投放策略制定和日常投放；负责对投放效果进行数据跟踪及效果分析；制定广告创意，并对广告素材进行协调和跟踪优化；跟踪市场广告投放的情况，对业内相关产品和竞争对手进行监测及数据分析。
5. 品质：具有优秀的逻辑思维能力、沟通能力、抗压能力；具备抗压能力,活跃开朗",无,无,无,无
电商运营助理,"电商运营助理
[无",乐于接受挑战,办公软件使用、数据分析,执行电商平台日常运营事务及维护工作、协助完成竞品调研、商品比价和销售数据跟踪、支持客户服务团队处理客户咨询和投诉、协助处理订单管理、定期整理运营报告,快速学习新技能、适应快节奏的工作环境、具有创新思维、高效工作能力]
电商运营专员,"电商运营专员
[无",积极上进、有责任感、较强的抗压力和良好的沟通能力、有较强的团队合作精神, Excel表，简单函数, 负责店铺日常操作如产品上新、页面优化调整、促销管理等，确保店铺信息的准确展现；对店铺整体运营数据进行跟踪和分析，发现问题、提出解决方案、并跟进问题的解决；负责店铺促销活动策划工作，针对活动效果进行跟踪、评估和优化，不断提升活动效果；完成店铺各项运营指标的预测与达成，并实时监督、反馈与改进；完成店铺日常销售规划、平台沟通、评价维护等工作, 有京东运营经验者优先]
电商运营总监,"电商运营总监
[无",无,无,食品、饮品类目电商行业从业五年以上，有打造爆品的经验,无]
电商运营总监,"服饰
[无",有优秀的内驱力、结果导向,淘宝、京东、抖音,全渠道营运销售管理、制订营销策略、执行销售和市场推广方案、制定销售目标、建立营销绩效管理体系、组织和建立运营团队,善于整合资源、挑战目标、团队管理及建设能力、激励与引导团队成员]
b2b电商运营,"b2b电商运营
[无",稳重、专业、创新,熟识B2B各种线上宣扬、推广方式,负责B2B平台营销推广活动、优化销售渠道、控制费用,专注、敬业、有梦想]
美团运营专员/美团电商运营专员,"美团运营专员/美团电商运营专员
【无",细心、有执行力,美团电商运营经验,店铺运营维护、销售额提升、利润控制、执行计划制定,了解美团电商、执行力强】
电商运营,"电商运营
[无",沟通协调能力强,电商平台运营经验,对商品进行维护、拟定新产品上架计划、收集平台政策,独立工作能力强]
电商运营,"电商运营
无",积极主动、擅长沟通、责任心强、工作习惯严谨细致,熟悉电商平台,整体运营规划、营销政策制定、新老客户维护、活动策划与执行、数据分析,执行能力和团队协作能力
电商运营主管,"电商运营主管
[无",沟通能力、团队合作能力,电商平台运营规则、数据分析,拟定运营目标、组织资源带领团队、制定工作标准流程、人员管理、市场分析、策划产品落地页框架,活动策划与沟通管理能力]
电商运营主管,无,主动、有执行力,无,实物团购运营、同城配送、团队资源管理,执行力、团队合作能力
电商运营总监,"电商运营总监
[无",无,无,快消品行业背景，母婴、家清个护优先考虑,无]
天猫淘宝电商运营,"天猫淘宝电商运营
无",执行力强,淘宝天猫平台规则、数据分析,负责天猫选品、全店运营，熟悉付费玩法，弹性上班时间，每天工作8小时,熟悉淘系玩法及规则，执行力强
电商运营（爆品）,"电商运营（爆品）
[无",沟通能力，敬业精神,平台规则、数据分析,店铺运营、营销推广、数据分析、单品起链接、打单爆品、平台销售目标,开朗乐观，承担工作压力]
电商运营负责人（水具行业）,"电商运营负责人（水具行业）
[无",有创业精神,电商平台操作、推广运营及管理模式,市场分析、用户研究、产品定位、团队管理,数据分析、营销、策划、团队管理能力]
AIGC电商运营,"计算机科学、数字媒体、广告学
积极主动，沟通能力强，具有独立思考能力
AIGC技术、编程、天猫/拼多多后台操作
利用AIGC技术生成电商平台商品创意内容、参与日常运营工作、推动AIGC技术应用与持续优化
兴趣浓厚，具有学习能力，独立思考能力",无,无,无,无
电商运营助理,"电商运营助理
[无",热爱电商行业；具有良好的学习能力，抗压能力，目标感强，较好的沟通能力,Excel，PPT,店铺基础运营操作、协助其他渠道的入驻和运营、维护评价、数据统计和整理、店铺活动管理及日常优化,对时下爆款、热点、热门话题有较强的敏感度、可以积极给到工作反馈、日报、周报、月报]
电商运营总监,"电商运营总监
[无",细心、有执行力,无,店铺运营管理、了解渠道的细节运营逻辑、站外引流,有执行力、有团队管理能力]
电商运营负责人,"电商运营负责人
[无",善沟通交流，有责任心，注重团队协作，有较强的主观能动性和抗压能力,精通直通车等营销工具，了解平台网营销规则,全面负责店铺的运营和日常管理，包括店铺整体策划、营销活动策划、产品推广等工作,具有良好的市场销售策略和能力，有出众的数据分析，敏锐的市场洞察力与反应力]
电商运营,"电商运营
[营销与策划或新闻学专业",有执行力、内驱力、自主学习能力强、脑洞大开、有网感、逻辑思维及创意创新能力、有工作热情和拼搏精神,熟练使用office各办公软件,独立产出营销策划方案PPT、线下活动执行、了解抖音外的各大电商平台直播、熟悉电商行业趋势,无]
电商运营助理,"电商运营助理
无",学习能力强、对数据敏感、有责任心、耐心、上进心、执行力,无,协助上级管理线上平台的日常维护、优化平台标题关键词、产品详情页等、平台活动的策划和推广、数据监控、产品研发和运营、其他工作安排,学习能力强、对数据敏感、有责任心、耐心、上进心、执行力
电商运营,"电商运营
无",细心、有创新意识,抖音平台运营经验、基础剪辑能力,根据项目年度目标搭建视频带货渠道、管理视频带货矩阵、分析爆款视频带货素材、制定分成机制,有IP授权分发经验、熟悉抖音平台规则、认真负责
电商运营店长,"电商运营店长
无",责任心强，思维活跃，有较好的逻辑思维能力,淘系平台或拼多多平台运营经验,店铺月度、年度生意规划及落地、活动营销、付费推广、客户关系管理、团队内部分工、对接平台资源,对数据有一定的洞悉能力，良好的团队合作意识，耐心、诚恳，强烈的责任心与积极主动的工作态度
电商运营（天猫、京东、猫超等各平台）,无,沟通能力、团队合作精神,网络营销工具、网站运营、数据统计分析,店铺整体运营、制定销量任务、执行网络营销方案、监控营销数据、优化产品关键词和库存,责任心强、工作效率高
电商运营主管,"电商运营主管
[电商/市场营销",结果导向、逻辑思维,京东、抖音、小红书、有赞、天猫,店铺搭建、运营策略制定、数据分析、活动策划,目标业绩导向、数据敏感、学习能力强]  
"电商运营
[无",工作积极主动，思路清晰，善于沟通，责任心强，有较强的抗压能力和解决问题的能力,无,"负责主流电商渠道,如天猫/拼多多/抖音店铺等(其中1","2个)的店铺运营,制定店铺运营目标、推广引流计划,整合平台资源推动销售工作;擅长从0到1孵化爆款产品,帮助新品牌实现销售突破,熟悉虚拟类目（大流量电话卡、流量包、宽带、视频权益等）用品类目及行业信息,关注对手的变化和选款、定价等营销策略,结合本店优势提出有效的运营计划;熟悉店铺基础运营,帮助店铺提升淘系/拼多多/字节系的搜索流量，进一步拉升新客转化率及老客复购率；与平台小二（或采销、运营）对接,挖掘各电商平台及关联渠道的流量入口,争取更多活动排期,根据平台活动节奏,制定产品上线规划,借用平台资源达成销售目标;部分有关合作推进的BD工作。6、完成领导布置的其他任务",无]
【实习生】电商运营专员,"【实习生】电商运营专员
【市场营销、电子商务相关专业",数据分析能力、人际沟通能力,无,协助电商平台等自营体系店铺的操作运营、落地销售策略、用户运营、店铺活动策划,沟通能力、数据分析能力】
电商运营,"电商运营
[无",市场敏感度、成本意识、风险意识,电商平台运营环境、交易规则、广告资源,产品布局、定价、上新节奏、买点提炼、图片策划、库存结构分析、数据跟踪、营销策略制定,市场分析能力、销售预期判断力、独立工作能力]
电商运营专员,"电商运营专员
[无",善于打造单品爆款、对数据敏感,互动创意、文案撰写、PPT撰写能力、快速掌握产品属性,负责店铺整体运营和日常管理、维护店面、产品更新、独立操作店铺陈列、增强店铺吸引力及产品销量、提升销售业绩、复盘改进销售不理想的款式、提高店铺点击率和浏览量、对竞争对手数据收集和分析、调整推广,团队管理或带助理经验、互动创意、文案撰写、PPT撰写能力、快速掌握产品属性]
B2B电商运营代表,"B2B电商运营代表
[无",商务谈判能力、沟通协调能力, PPT演示、演讲技能,管理和维护客户、制定营销活动方案、数据统计与分析,良好的沟通协调能力、商务谈判能力、对公司业务的熟悉]
电商运营专员,"电商运营专员
[电商专业",积极主动、抗压能力强,无,收集并分析店铺数据，店铺活动策划，店铺维护和优化，店铺陈列，推广和优化公司产品,团队协作精神、学习能力和创新能力]
电商运营,"专业：无
性格：无
软件技能：懂视频投流、懂拍摄剪辑、懂直播间投流和操作、懂B2B运作
工作内容：无
品质：有两年经验者优先",无,无,无,无
电商运营,"电商运营
[无",沟通表达能力、团队合作意识,电商平台规则及玩法、Microsoft Office、数据分析工具,商品上下架、产品推广、订单处理、制定促销方案、数据分析、客户服务,工作热情、责任感、学习能力、职业操守、抗压能力]
电商运营助理专员,"电商运营助理专员
[无",沟通协调能力、独立解决问题能力、团队合作精神,无,协助投放运营进行账户开户充值等支持工作，与各部门及合作商协调沟通，确保投放计划顺利进行,工作认真细致，学习能力强，责任心强]
电商运营助理,"电商运营助理
[设计专业",执行力强,抖音、淘宝运营、PS,协助店铺运营维护、优化店铺排名、数据分析、完成领导安排的工作,学习能力强、吃苦耐劳]
电商运营经理,"电商运营经理
[无",团队领导能力,淘宝、天猫后台操作规则、钻展、直通车,负责天猫/抖音/等店铺的总体运营、工作销售计划、任务分解、日常运营及数据监控、定期跟踪评估推广效果、协助管理运营团队,责任心强、工作积极、执行力强]
"电商运营专员
[电子商务专业",有担当力、有责任心,熟练操作excel、word等办公软件,熟悉电商平台底层逻辑公式，协助管理天猫、淘宝等平台店铺,热爱电商行业、敢拼、敢闯、有恒心、能坚持,有基础的数据分析能力]
电商运营专员,"电商运营专员
[无",无,无,统筹直播项目运营管理工作，逐步搭建标准化直播运营体系，对直播运营的GMV、利润以及人效等关键指标负责；监督及指导日常运营策略落地，根据直播间变化优化运营策略；短视频运营及指导,无]
电商运营专员,"电商运营专员
[无",细心、逻辑思维,无,撰写服装卖点标题、网易严选运营、轻商务男装设计,细心、逻辑思维]
电商运营助理,"电商运营助理
无",适应快节奏的工作环境,办公软件、数据分析,产品上架管理、数据分析、客户服务支持、营销活动提报执行、商品比价、销售数据跟踪、客户咨询处理、订单管理、运营报告整理,快速学习能力、适应压力下高效工作、创新思维、乐于接受挑战
电商运营经理/主管,"电商运营经理/主管
[无",压力、结果导向、良好的沟通能力、自我激励、反应灵敏和细节上工作,无,负责公司电商平台业务的规划、经营计划、预算、销售、产品、运营、团队管理等,组织良好的人员，能够管理多项任务，良好的解决问题能力]
电商运营,"平台运营
[无",团队管理能力,天猫、京东店长统筹管理经验,制定店铺年度业务规划、整合平台及公司资源、提升店铺精细化运营管理、打造高效能可战斗的团队,有销售战术新打法及经营能力]
电商运营,"电商运营
[电商专业",无,电脑基本操作,协助运营进行店铺日常维护、产品更新、店铺陈列、以增强店铺吸引力、产品销量；协助运营定期策划网店活动，提升店铺的名气，聚集流量和人气；负责收集市场和行业信息提供有效应对方案；认真落实运营安排的工作,"学习能力强，对新事物适应能力强；对于工作要细心，并且有耐心；有自愿加班完成当日工作习惯]
"
电商运营,"电商运营
[无",积极主动，思路清晰，善于沟通，责任心强，有较强的抗压能力和解决问题的能力,天猫/拼多多/京东等电商渠道运营经验,"制定店铺运营目标、推广引流计划,整合平台资源推动销售工作",本科以上学历]
电商运营经理,"电商运营经理
[无",有,无,依据公司及店铺的发展战略和年度计划，建立各阶段及年度运营规划，整合公司、品牌、平台的整体资源，实施运营、人才培养、绩效管理及营销计划，达成团队培养和绩效提升的目标。,有]
电商运营总监,"电商运营总监
[无",团队合作意识、沟通协调能力、抗压能力、应变能力,熟悉淘宝规则,制定店铺运营计划、执行店铺经营计划、组织营销活动、协调内部工作关系、维护客户关系,责任心、职业操守]
电商运营,"电商运营
[无",沟通能力强、数据分析能力、有抗压能力,拼多多、抖音、京东、淘系平台操作经验,愿意跟公司一起发展、有创业精神、适应能力强],无
"电商运营助理/专员
[无",沟通能力、学习能力、执行力、团队合作,无,WPS办公软件,管理店铺日常运营工作、产品推广计划、上下架产品、数据统计、分析、商品库存检查、直播间中控工作、其他运营安排,善于沟通、团队合作能力、执行力高、踏实工作、独立学习能力、耐心好相处]
电商运营,"电商运营
[无",奋斗者的本色,拼多多、京东、淘系、抖音,制定运营策略和手段、市场分析、产品分析、数据分析、活动设计、协调部门处理店铺问题,吃苦耐劳、抗压能力强、结果导向、钻研精神、终身学习能力]
电商运营专员,"电商运营专员
[无",性格开朗外向具有正能量，有能吃苦耐劳精神，团队意识强,无,负责销售推广公司研发的pcb方案产品、维护老客户，挖掘客户的潜力、定期与合作客户进行沟通，建立良好的长期合作关系,中专以上学历，有强烈的赚钱欲望]
AIGC电商运营,"AIGC电商运营
[无",开朗、积极主动、沟通能力、学习能力, AIGC技术、天猫后台操作, 创意内容生成与优化、参与日常运营工作、团队协作推动AIGC技术应用, 独立思考、学习能力]
电商运营助理,"电商运营助理
[无",活动策划能力、抗压能力、学习能力,无,善于数据分析、店铺管理、商品上新和下架、营销改进、市场研究、产品类目优化、与平台小二沟通,无]
电商运营助理,"电商运营助理
[国贸、电子商务专业",思维清晰、热爱电子商务行业,电商平台的运营环境、交易规则,负责唯品/京东/天猫/抖音店铺的日常基础运营，分析店铺销售目标并落实执行，如产品上下架，标题优化、库存管理、营销活动策划和执行等,工作耐心细致、较强的亲和力和应变能力，高度的责任心和进取心，具备良好的沟通能力和团队协作精神]
电商运营总监,"电商运营总监
[电子商务、市场营销",无,无,组织落实公司年度电商营销策略;制定电商平台整体运营方案、政策及各项制度与流程，推进电子商务销售体系规范有序的发展;制定并推动分解、完成电商平台年度销售目标;负责电商商品的定价管理;组织调研网络营销市场，策划产品运营、内容运营方案，传播产品卖组织促销推广活动，培育品牌;开发网络营销新渠道并签订合作协议;团队绩效管理及培训提升团队业务能力;完成上级临时安排的其他工作任务,"无]
"
天猫淘宝电商运营,"天猫淘宝电商运营
[无",执行力要强,擅长付费玩法,负责天猫选品、全店运营、熟悉平台规则、擅长分析数据,了解淘系玩法及规则]
电商运营助理,"电商运营助理
无",细致、有执行力,Excel、PS,店铺基础管理、促销活动提报、数据分析、维护客户、其他工作,细致、执行力、数据分析能力
电商运营总监,"电商运营总监
【美妆护肤/品牌企业相关行业线上运营团队管理经验",执行力强,电商平台推广模式,制定公司自有品牌在传统电商平台的年度运营规划、全面规划推广线上销售业务、负责线上推广、流量玩法的整体规划、制定公司店铺整体运营规划、负责电商人员的梯队建设,高度的责任心、具备创造性思维和数据分析能力】
